Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
RETNLB	FIZZ2, HXCP2, RELMb	ENSG00000163515	Resistin like beta	Q9BQ08	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
RGMA	RGM, RGMa	ENSG00000182175	Repulsive guidance molecule BMP co-receptor a	Q96B86	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RLN1	H1	ENSG00000107018	Relaxin 1	P04808	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RLN2	bA12D24.1.1, bA12D24.1.2, H2, RLXH2	ENSG00000107014	Relaxin 2	P04090	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RLN3	H3, RXN3, ZINS4	ENSG00000171136	Relaxin 3	Q8WXF3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNASE1	RAC1, RNS1	ENSG00000129538	Ribonuclease A family member 1, pancreatic	P07998	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RNASE10	RAH1, RNASE9	ENSG00000182545	Ribonuclease A family member 10 (inactive)	Q5GAN6	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
RNASE11	C14orf6, RAJ1	ENSG00000173464	Ribonuclease A family member 11 (inactive)	Q8TAA1	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
RNASE12	RAI1	ENSG00000258436	Ribonuclease A family member 12 (inactive)	Q5GAN4	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
RNASE13	RAL1	ENSG00000206150	Ribonuclease A family member 13 (inactive)	Q5GAN3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
RNASE2	EDN, RAF3, RNS2	ENSG00000169385	Ribonuclease A family member 2	P10153	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RNASE3	ECP, RAF1, RNS3	ENSG00000169397	Ribonuclease A family member 3	P12724	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RNASE4	RAB1	ENSG00000258818	Ribonuclease A family member 4	P34096	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNASE6	RAD1, RNaseK6, RNS6	ENSG00000169413	Ribonuclease A family member k6	Q93091	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNASE7	RAE1	ENSG00000165799	Ribonuclease A family member 7	Q9H1E1	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RNASE8	RAE2	ENSG00000173431	Ribonuclease A family member 8	Q8TDE3	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNASE9	h461, RAK1	ENSG00000188655	Ribonuclease A family member 9 (inactive)	P60153	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNASET2	bA514O12.3, FLJ10907, RNASE6PL	ENSG00000026297	Ribonuclease T2	O00584	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RNLS	C10orf59, FLJ11218, renalase	ENSG00000184719	Renalase, FAD dependent amine oxidase	Q5VYX0	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RNPEP	APB	ENSG00000176393	Arginyl aminopeptidase	Q9H4A4	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RPTN	FLJ39117	ENSG00000215853	Repetin	Q6XPR3	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RS1	RS, XLRS1	ENSG00000102104	Retinoschisin 1	O15537	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
RSPO1	FLJ40906, RSPONDIN	ENSG00000169218	R-spondin 1	Q2MKA7	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RSPO2	MGC35555	ENSG00000147655	R-spondin 2	Q6UXX9	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RSPO3	FLJ14440, THSD2	ENSG00000146374	R-spondin 3	Q9BXY4	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RSPO4	C20orf182, dJ824F16.3	ENSG00000101282	R-spondin 4	Q2I0M5	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RSPRY1	KIAA1972	ENSG00000159579	Ring finger and SPRY domain containing 1	Q96DX4	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
RTBDN	FLJ36353	ENSG00000132026	Retbindin	Q9BSG5	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
S100A12	CAAF1, CAGC, CGRP, ENRAGE, MRP6, p6	ENSG00000163221	S100 calcium binding protein A12	P80511	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
S100A7	PSOR1, S100A7c	ENSG00000143556	S100 calcium binding protein A7	P31151	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
S100A8	60B8AG, CAGA, CFAG, CGLA, MRP8, P8	ENSG00000143546	S100 calcium binding protein A8	P05109	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
S100A9	60B8AG, CAGB, CFAG, CGLB, LIAG, MAC387, MIF, MRP14, NIF, P14	ENSG00000163220	S100 calcium binding protein A9	P06702	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SAA1	PIG4, SAA, TP53I4	ENSG00000173432	Serum amyloid A1	P0DJI8	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SAA2		ENSG00000134339	Serum amyloid A2	P0DJI9	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SAA4	C-SAA, CSAA	ENSG00000148965	Serum amyloid A4, constitutive	P35542	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SBSN	HLAR698, UNQ698	ENSG00000189001	Suprabasin	Q6UWP8	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SBSPON	C8orf84, RPESP	ENSG00000164764	Somatomedin B and thrombospondin type 1 domain containing	Q8IVN8	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCG2	CHGC, SgII, SN	ENSG00000171951	Secretogranin II	P13521	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCG3	FLJ90833, SgIII	ENSG00000104112	Secretogranin III	Q8WXD2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCG5	7B2, SGNE1, SgV	ENSG00000166922	Secretogranin V	P05408	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCGB1A1	CC10, CC16, CCSP, UGB	ENSG00000149021	Secretoglobin family 1A member 1	P11684	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCGB1C1	RYD5	ENSG00000188076	Secretoglobin family 1C member 1	Q8TD33	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
SCGB1C2		ENSG00000268320	Secretoglobin family 1C member 2	P0DMR2	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
SCGB1D1	LIPA, LPHA, MGC71958	ENSG00000168515	Secretoglobin family 1D member 1	O95968	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCGB1D2	LIPB, LPHB	ENSG00000124935	Secretoglobin family 1D member 2	O95969	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SCGB1D4	IIS	ENSG00000197745	Secretoglobin family 1D member 4	Q6XE38	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCGB2A1	LPHC, MGB2, MGC71973, UGB3	ENSG00000124939	Secretoglobin family 2A member 1	O75556	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCGB2A2	MGB1, MGC71974, UGB2	ENSG00000110484	Secretoglobin family 2A member 2	Q13296	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCGB2B2	SCGB4A2, SCGBL	ENSG00000205209	Secretoglobin family 2B member 2	Q4G0G5	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
SCGB3A1	HIN-1, HIN1, LU105, PnSP-2, UGRP2	ENSG00000161055	Secretoglobin family 3A member 1	Q96QR1	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCGB3A2	LU103, PNSP1, UGRP1	ENSG00000164265	Secretoglobin family 3A member 2	Q96PL1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCPEP1	RISC	ENSG00000121064	Serine carboxypeptidase 1	Q9HB40	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCRG1	SCRG-1	ENSG00000164106	Stimulator of chondrogenesis 1	O75711	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCT		ENSG00000070031	Secretin	P09683	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SCUBE1		ENSG00000159307	Signal peptide, CUB domain and EGF like domain containing 1	Q8IWY4	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SCUBE2	Cegb1, Cegf1, FLJ16792	ENSG00000175356	Signal peptide, CUB domain and EGF like domain containing 2	Q9NQ36	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SDC1	CD138, SDC, SYND1, syndecan	ENSG00000115884	Syndecan 1	P18827	Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
SECTM1	K12	ENSG00000141574	Secreted and transmembrane 1	Q8WVN6	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SELENOP	SELP, SeP, SEPP, SEPP1	ENSG00000250722	Selenoprotein P	P49908	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SEMA3A	coll-1, Hsema-I, SEMA1, SEMAD, SemD	ENSG00000075213	Semaphorin 3A	Q14563	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SEMA3B	LUCA-1, SemA, sema5, SEMAA, semaV	ENSG00000012171	Semaphorin 3B	Q13214	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SEMA3E	coll-5, KIAA0331, M-SemaK, SEMAH	ENSG00000170381	Semaphorin 3E	O15041	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SEMA3F	Sema4, SEMAK	ENSG00000001617	Semaphorin 3F	Q13275	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SEMA3G	FLJ00014, sem2	ENSG00000010319	Semaphorin 3G	Q9NS98	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SEMG1	CT103, SEMG	ENSG00000124233	Semenogelin I	P04279	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SEMG2	SGII	ENSG00000124157	Semenogelin II	Q02383	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA1	A1A, A1AT, AAT, alpha-1-antitrypsin, alpha1AT, PI, PI1	ENSG00000197249	Serpin family A member 1	P01009	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA10	PZI, ZPI	ENSG00000140093	Serpin family A member 10	Q9UK55	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA11		ENSG00000186910	Serpin family A member 11	Q86U17	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SERPINA12	OL-64, Vaspin	ENSG00000165953	Serpin family A member 12	Q8IW75	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINA3	AACT, ACT	ENSG00000196136	Serpin family A member 3	P01011	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA4	KAL, kallistatin, KLST, KST, PI4	ENSG00000100665	Serpin family A member 4	P29622	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA5	PAI3, PCI, PLANH3, PROCI	ENSG00000188488	Serpin family A member 5	P05154	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINA6	CBG	ENSG00000170099	Serpin family A member 6	P08185	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINA7	TBG	ENSG00000123561	Serpin family A member 7	P05543	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINA9	CENTERIN, GCET1, SERPINA11b	ENSG00000170054	Serpin family A member 9	Q86WD7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINC1	AT3, ATIII, MGC22579	ENSG00000117601	Serpin family C member 1	P01008	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPIND1	D22S673, HC-II, HC2, HCF2, HLS2	ENSG00000099937	Serpin family D member 1	P05546	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINE1	PAI, PAI1, PLANH1	ENSG00000106366	Serpin family E member 1	P05121	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINE2	GDN, nexin, PI7, PN1, PNI	ENSG00000135919	Serpin family E member 2	P07093	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINE3		ENSG00000253309	Serpin family E member 3	A8MV23	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SERPINF1	EPC-1, PEDF, PIG35	ENSG00000132386	Serpin family F member 1	P36955	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SERPINF2	A2AP, AAP, ALPHA-2-PI, API, PLI	ENSG00000167711	Serpin family F member 2	P08697	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPING1	C1-INH, C1IN, C1NH, HAE1, HAE2	ENSG00000149131	Serpin family G member 1	P05155	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINI1	neuroserpin, PI12	ENSG00000163536	Serpin family I member 1	Q99574	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SERPINI2	MEPI, PANCPIN, PI14, TSA2004	ENSG00000114204	Serpin family I member 2	O75830	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SFN	YWHAS	ENSG00000175793	Stratifin	P31947	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFRP1	FRP, FRP-1, SARP2	ENSG00000104332	Secreted frizzled related protein 1	Q8N474	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFRP2	FRP-2, SARP1, SDF-5	ENSG00000145423	Secreted frizzled related protein 2	Q96HF1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SFRP4	FRP-4, frpHE, FRZB-2	ENSG00000106483	Secreted frizzled related protein 4	Q6FHJ7	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFRP5	SARP3	ENSG00000120057	Secreted frizzled related protein 5	Q5T4F7	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SFTA2	SFTPG	ENSG00000196260	Surfactant associated 2	Q6UW10	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SFTA3	NANCI, SFTPH	ENSG00000229415	Surfactant associated 3	P0C7M3	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SFTPA1	COLEC4, SFTP1, SP-A, SP-A1	ENSG00000122852	Surfactant protein A1	Q8IWL2	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFTPA2	COLEC5, SP-A2	ENSG00000185303	Surfactant protein A2	Q8IWL1	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFTPB	SFTP3, SP-B	ENSG00000168878	Surfactant protein B	P07988	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFTPC	BRICD6, PSP-C, SFTP2, SMDP2, SP-C	ENSG00000168484	Surfactant protein C	P11686	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SFTPD	COLEC7, SFTP4, SP-D	ENSG00000133661	Surfactant protein D	P35247	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SHBG	ABP, MGC126834, MGC138391, TEBG	ENSG00000129214	Sex hormone binding globulin	P04278	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SHE		ENSG00000169291	Src homology 2 domain containing E	Q5VZ18	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SIRPD	dJ576H24.4, PTPNS1L2	ENSG00000125900	Signal regulatory protein delta	Q9H106	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SLAMF1	CD150, SLAM	ENSG00000117090	Signaling lymphocytic activation molecule family member 1	Q13291	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SLIT2	SLIL3, Slit-2	ENSG00000145147	Slit guidance ligand 2	O94813	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SLIT3	MEGF5, SLIL2, Slit-3, SLIT1, slit2	ENSG00000184347	Slit guidance ligand 3	O75094	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SLITRK1	KIAA1910, LRRC12	ENSG00000178235	SLIT and NTRK like family member 1	Q96PX8	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SLPI	ALK1, ALP, BLPI, HUSI, HUSI-I, WAP4, WFDC4	ENSG00000124107	Secretory leukocyte peptidase inhibitor	P03973	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SLURP1	ANUP, ARS, ArsB, LY6LS, MDM	ENSG00000126233	Secreted LY6/PLAUR domain containing 1	P55000	Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SLURP2		ENSG00000283992	Secreted LY6/PLAUR domain containing 2	P0DP57	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SMIM31	LINC01207	ENSG00000248771	Small integral membrane protein 31		Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
SMOC2	SMAP2	ENSG00000112562	SPARC related modular calcium binding 2	Q9H3U7	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SMPD1	ASM	ENSG00000166311	Sphingomyelin phosphodiesterase 1	P17405	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SMPDL3A	ASM3A, ASML3a, FLJ20177, yR36GH4.1	ENSG00000172594	Sphingomyelin phosphodiesterase acid like 3A	Q92484	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SMPDL3B	ASML3B	ENSG00000130768	Sphingomyelin phosphodiesterase acid like 3B	Q92485	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SMR3A	PBI, PRL5, PROL5	ENSG00000109208	Submaxillary gland androgen regulated protein 3A	Q99954	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SMR3B	P-B, PRL3, PROL3	ENSG00000171201	Submaxillary gland androgen regulated protein 3B	P02814	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SNED1	FLJ00133, Snep, SST3	ENSG00000162804	Sushi, nidogen and EGF like domains 1	Q8TER0	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
SOD3	EC-SOD	ENSG00000109610	Superoxide dismutase 3	P08294	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SOGA1	C20orf117, dJ132F21.1, FLJ44670, KIAA0889, SOGA	ENSG00000149639	Suppressor of glucose, autophagy associated 1	O94964	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SORL1	C11orf32, gp250, LR11, LRP9, SorLA, SorLA-1	ENSG00000137642	Sortilin related receptor 1	Q92673	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SOST	DAND6, VBCH	ENSG00000167941	Sclerostin	Q9BQB4	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SOSTDC1	DAND7, DKFZp564D206, USAG1	ENSG00000171243	Sclerostin domain containing 1	Q6X4U4	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SPACA3	ALLP17, CT54, LYC3, LYZL3, SLLP1	ENSG00000141316	Sperm acrosome associated 3	Q8IXA5	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPACA5	dJ54B20.3, LYC5, LYZL5, PNPK6288, SLLP2, UNQ6288	ENSG00000171489	Sperm acrosome associated 5	Q96QH8	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SPACA5B	LYZL5B	ENSG00000171478	Sperm acrosome associated 5B	Q96QH8	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SPACA7	C13orf28	ENSG00000153498	Sperm acrosome associated 7	Q96KW9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPAG11A	EDDM2A, HE2	ENSG00000178287	Sperm associated antigen 11A	Q6PDA7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SPAG11B	EDDM2B, EP2, EP2C, EP2D, HE2	ENSG00000164871	Sperm associated antigen 11B	Q08648	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SPARC	ON	ENSG00000113140	Secreted protein acidic and cysteine rich	P09486	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPARCL1	MAST9	ENSG00000152583	SPARC like 1	Q14515	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPATA20	FLJ21347, SSP411, Tisp78	ENSG00000006282	Spermatogenesis associated 20	Q8TB22	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
SPINK1	PCTT, PSTI, Spink3, TATI	ENSG00000164266	Serine peptidase inhibitor, Kazal type 1	P00995	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPINK14	SPINK5L2	ENSG00000196800	Serine peptidase inhibitor, Kazal type 14 (putative)	Q6IE38	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
SPINK2	HUSI-II	ENSG00000128040	Serine peptidase inhibitor, Kazal type 2	P20155	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPINK4	MGC133107, PEC-60	ENSG00000122711	Serine peptidase inhibitor, Kazal type 4	O60575	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	No human protein/transcript evidence
SPINK5	DKFZp686K19184, FLJ21544, FLJ97536, FLJ97596, FLJ99794, LEKTI, LETKI, NETS, NS, VAKTI	ENSG00000133710	Serine peptidase inhibitor, Kazal type 5	Q9NQ38	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPINK6	BUSI2, MGC21394, UNQ844	ENSG00000178172	Serine peptidase inhibitor, Kazal type 6	Q6UWN8	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
SPINK7	ECG2, ECRG2	ENSG00000145879	Serine peptidase inhibitor, Kazal type 7 (putative)	P58062	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
SPINK8		ENSG00000229453	Serine peptidase inhibitor, Kazal type 8 (putative)	P0C7L1	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
